x,y,angle,flow_rate,servo_angle,distance
3,3,39,5.53,70,2.22
4,3,40,5.53,70,2.2
5,3,40,5.53,70,2.18
6,3,41,5.53,70,2.16
22,3,49,4.46,48,1.88
23,3,49,4.46,48,1.86
24,3,50,4.46,48,1.85
25,3,51,4.46,47,1.83
26,3,51,4.46,47,1.82
27,3,52,4.46,46,1.8
28,3,52,4.46,46,1.79
29,3,53,4.46,46,1.77
30,3,54,4.46,45,1.76
31,3,54,4.46,45,1.74
32,3,55,4.46,44,1.73
33,3,56,4.46,44,1.71
34,3,57,4.46,44,1.7
35,3,57,4.46,43,1.69
36,3,58,4.46,43,1.67
37,3,59,4.46,43,1.66
38,3,59,4.46,42,1.65
39,3,60,4.46,42,1.63
40,3,61,4.46,42,1.62
41,3,62,4.46,41,1.61
42,3,63,4.46,41,1.6
43,3,63,4.46,41,1.59
44,3,64,4.46,41,1.58
45,3,65,4.46,40,1.57
46,3,66,4.46,40,1.56
47,3,67,4.46,40,1.55
48,3,68,4.46,40,1.54
49,3,68,4.46,39,1.53
50,3,69,4.46,39,1.52
51,3,70,4.46,39,1.51
52,3,71,4.46,39,1.5
53,3,72,4.46,38,1.49
54,3,73,4.46,38,1.49
55,3,74,4.46,38,1.48
56,3,75,4.46,38,1.47
57,3,76,4.46,38,1.47
58,3,77,4.46,37,1.46
59,3,78,4.46,37,1.46
60,3,79,4.46,37,1.45
61,3,80,4.46,37,1.45
62,3,81,4.46,37,1.44
63,3,82,4.46,37,1.44
64,3,82,4.46,37,1.44
65,3,83,4.46,37,1.43
66,3,84,4.46,37,1.43
67,3,85,4.46,37,1.43
68,3,86,4.46,37,1.43
69,3,87,4.46,37,1.43
70,3,88,4.46,37,1.43
71,3,90,4.46,37,1.43
72,3,91,4.46,37,1.43
73,3,92,4.46,37,1.43
74,3,93,4.46,37,1.43
75,3,94,4.46,37,1.43
76,3,95,4.46,37,1.43
77,3,96,4.46,37,1.43
78,3,97,4.46,37,1.44
79,3,97,4.46,37,1.44
80,3,98,4.46,37,1.44
81,3,99,4.46,37,1.45
82,3,100,4.46,37,1.45
83,3,101,4.46,37,1.46
84,3,102,4.46,37,1.46
85,3,103,4.46,38,1.47
86,3,104,4.46,38,1.47
87,3,105,4.46,38,1.48
88,3,106,4.46,38,1.49
89,3,107,4.46,38,1.49
90,3,108,4.46,39,1.5
91,3,109,4.46,39,1.51
92,3,110,4.46,39,1.52
93,3,111,4.46,39,1.53
94,3,111,4.46,40,1.54
95,3,112,4.46,40,1.55
96,3,113,4.46,40,1.56
97,3,114,4.46,40,1.57
98,3,115,4.46,41,1.58
99,3,116,4.46,41,1.59
100,3,116,4.46,41,1.6
101,3,117,4.46,41,1.61
102,3,118,4.46,42,1.62
103,3,119,4.46,42,1.63
104,3,120,4.46,42,1.65
105,3,120,4.46,43,1.66
106,3,121,4.46,43,1.67
107,3,122,4.46,43,1.69
108,3,122,4.46,44,1.7
109,3,123,4.46,44,1.71
110,3,124,4.46,44,1.73
111,3,125,4.46,45,1.74
112,3,125,4.46,45,1.76
113,3,126,4.46,46,1.77
114,3,127,4.46,46,1.79
115,3,127,4.46,46,1.8
116,3,128,4.46,47,1.82
117,3,128,4.46,47,1.83
118,3,129,4.46,48,1.85
119,3,130,4.46,48,1.86
120,3,130,4.46,48,1.88
136,3,138,5.53,70,2.16
137,3,139,5.53,70,2.18
138,3,139,5.53,70,2.2
139,3,140,5.53,70,2.22
140,3,140,5.53,70,2.24
1,4,38,5.53,70,2.24
2,4,39,5.53,70,2.22
3,4,39,5.53,70,2.2
4,4,39,5.53,70,2.18
5,4,40,5.53,70,2.16
20,4,47,4.46,49,1.89
21,4,48,4.46,48,1.88
22,4,48,4.46,48,1.86
23,4,49,4.46,47,1.84
24,4,49,4.46,47,1.83
25,4,50,4.46,47,1.81
26,4,51,4.46,46,1.8
27,4,51,4.46,46,1.78
28,4,52,4.46,46,1.77
29,4,53,4.46,45,1.75
30,4,53,4.46,45,1.74
31,4,54,4.46,44,1.72
32,4,55,4.46,44,1.71
33,4,55,4.46,43,1.69
34,4,56,4.46,43,1.68
35,4,57,4.46,43,1.66
36,4,57,4.46,42,1.65
37,4,58,4.46,42,1.64
38,4,59,4.46,42,1.62
39,4,60,4.46,41,1.61
40,4,61,4.46,41,1.6
41,4,61,4.46,41,1.59
42,4,62,4.46,41,1.58
43,4,63,4.46,40,1.57
44,4,64,4.46,40,1.55
45,4,65,4.46,40,1.54
46,4,65,4.46,39,1.53
47,4,66,4.46,39,1.52
48,4,67,4.46,39,1.51
49,4,68,4.46,39,1.5
50,4,69,4.46,39,1.5
51,4,70,4.46,38,1.49
52,4,71,4.46,38,1.48
53,4,72,4.46,38,1.47
54,4,73,4.46,37,1.46
55,4,74,4.46,37,1.46
56,4,75,4.46,37,1.45
57,4,75,4.46,37,1.44
58,4,76,4.46,37,1.44
59,4,77,4.46,37,1.43
60,4,78,4.46,37,1.43
61,4,79,4.46,36,1.42
62,4,80,4.46,36,1.42
63,4,81,4.46,36,1.41
64,4,82,4.46,36,1.41
65,4,83,4.46,36,1.41
66,4,84,4.46,36,1.41
67,4,85,4.46,36,1.4
68,4,86,4.46,36,1.4
69,4,87,4.46,36,1.4
70,4,88,4.46,36,1.4
71,4,90,4.46,36,1.4
72,4,91,4.46,36,1.4
73,4,92,4.46,36,1.4
74,4,93,4.46,36,1.4
75,4,94,4.46,36,1.4
76,4,95,4.46,36,1.41
77,4,96,4.46,36,1.41
78,4,97,4.46,36,1.41
79,4,98,4.46,36,1.41
80,4,99,4.46,36,1.42
81,4,100,4.46,36,1.42
82,4,101,4.46,37,1.43
83,4,102,4.46,37,1.43
84,4,103,4.46,37,1.44
85,4,104,4.46,37,1.44
86,4,104,4.46,37,1.45
87,4,105,4.46,37,1.46
88,4,106,4.46,37,1.46
89,4,107,4.46,38,1.47
90,4,108,4.46,38,1.48
91,4,109,4.46,38,1.49
92,4,110,4.46,39,1.5
93,4,111,4.46,39,1.5
94,4,112,4.46,39,1.51
95,4,113,4.46,39,1.52
96,4,114,4.46,39,1.53
97,4,114,4.46,40,1.54
98,4,115,4.46,40,1.55
99,4,116,4.46,40,1.57
100,4,117,4.46,41,1.58
101,4,118,4.46,41,1.59
102,4,118,4.46,41,1.6
103,4,119,4.46,41,1.61
104,4,120,4.46,42,1.62
105,4,121,4.46,42,1.64
106,4,122,4.46,42,1.65
107,4,122,4.46,43,1.66
108,4,123,4.46,43,1.68
109,4,124,4.46,43,1.69
110,4,124,4.46,44,1.71
111,4,125,4.46,44,1.72
112,4,126,4.46,45,1.74
113,4,126,4.46,45,1.75
114,4,127,4.46,46,1.77
115,4,128,4.46,46,1.78
116,4,128,4.46,46,1.8
117,4,129,4.46,47,1.81
118,4,130,4.46,47,1.83
119,4,130,4.46,47,1.84
120,4,131,4.46,48,1.86
121,4,131,4.46,48,1.88
122,4,132,4.46,49,1.89
137,4,139,5.53,70,2.16
138,4,140,5.53,70,2.18
139,4,140,5.53,70,2.2
140,4,140,5.53,70,2.22
141,4,141,5.53,70,2.24
1,5,38,5.53,70,2.23
2,5,38,5.53,70,2.21
3,5,38,5.53,70,2.19
4,5,39,5.53,70,2.17
19,5,46,4.46,49,1.89
20,5,47,4.46,48,1.88
21,5,47,4.46,48,1.86
22,5,48,4.46,47,1.84
23,5,48,4.46,47,1.82
24,5,49,4.46,47,1.81
25,5,50,4.46,46,1.79
26,5,50,4.46,46,1.78
27,5,51,4.46,45,1.76
28,5,51,4.46,45,1.75
29,5,52,4.46,44,1.73
30,5,53,4.46,44,1.72
31,5,53,4.46,44,1.7
32,5,54,4.46,43,1.69
33,5,55,4.46,43,1.67
34,5,56,4.46,43,1.66
35,5,56,4.46,42,1.64
36,5,57,4.46,42,1.63
37,5,58,4.46,42,1.62
38,5,59,4.46,41,1.6
39,5,59,4.46,41,1.59
40,5,60,4.46,41,1.58
41,5,61,4.46,40,1.57
42,5,62,4.46,40,1.55
43,5,63,4.46,40,1.54
44,5,63,4.46,39,1.53
45,5,64,4.46,39,1.52
46,5,65,4.46,39,1.51
47,5,66,4.46,39,1.5
48,5,67,4.46,38,1.49
49,5,68,4.46,38,1.48
50,5,69,4.46,38,1.47
51,5,70,4.46,37,1.46
52,5,70,4.46,37,1.45
53,5,71,4.46,37,1.45
54,5,72,4.46,37,1.44
55,5,73,4.46,37,1.43
56,5,74,4.46,37,1.43
57,5,75,4.46,36,1.42
58,5,76,4.46,36,1.41
59,5,77,4.46,36,1.41
60,5,78,4.46,36,1.4
61,5,79,4.46,36,1.4
62,5,80,4.46,36,1.39
63,5,81,4.46,36,1.39
64,5,82,4.46,36,1.39
65,5,83,4.46,35,1.38
66,5,84,4.46,35,1.38
67,5,85,4.46,35,1.38
68,5,86,4.46,35,1.38
69,5,87,4.46,35,1.38
70,5,88,4.46,35,1.38
71,5,90,4.46,35,1.38
72,5,91,4.46,35,1.38
73,5,92,4.46,35,1.38
74,5,93,4.46,35,1.38
75,5,94,4.46,35,1.38
76,5,95,4.46,35,1.38
77,5,96,4.46,35,1.38
78,5,97,4.46,36,1.39
79,5,98,4.46,36,1.39
80,5,99,4.46,36,1.39
81,5,100,4.46,36,1.4
82,5,101,4.46,36,1.4
83,5,102,4.46,36,1.41
84,5,103,4.46,36,1.41
85,5,104,4.46,36,1.42
86,5,105,4.46,37,1.43
87,5,106,4.46,37,1.43
88,5,107,4.46,37,1.44
89,5,108,4.46,37,1.45
90,5,109,4.46,37,1.45
91,5,109,4.46,37,1.46
92,5,110,4.46,38,1.47
93,5,111,4.46,38,1.48
94,5,112,4.46,38,1.49
95,5,113,4.46,39,1.5
96,5,114,4.46,39,1.51
97,5,115,4.46,39,1.52
98,5,116,4.46,39,1.53
99,5,116,4.46,40,1.54
100,5,117,4.46,40,1.55
101,5,118,4.46,40,1.57
102,5,119,4.46,41,1.58
103,5,120,4.46,41,1.59
104,5,120,4.46,41,1.6
105,5,121,4.46,42,1.62
106,5,122,4.46,42,1.63
107,5,123,4.46,42,1.64
108,5,123,4.46,43,1.66
109,5,124,4.46,43,1.67
110,5,125,4.46,43,1.69
111,5,126,4.46,44,1.7
112,5,126,4.46,44,1.72
113,5,127,4.46,44,1.73
114,5,128,4.46,45,1.75
115,5,128,4.46,45,1.76
116,5,129,4.46,46,1.78
117,5,129,4.46,46,1.79
118,5,130,4.46,47,1.81
119,5,131,4.46,47,1.82
120,5,131,4.46,47,1.84
121,5,132,4.46,48,1.86
122,5,132,4.46,48,1.88
123,5,133,4.46,49,1.89
138,5,140,5.53,70,2.17
139,5,141,5.53,70,2.19
140,5,141,5.53,70,2.21
141,5,141,5.53,70,2.23
1,6,37,5.53,70,2.21
2,6,38,5.53,70,2.19
3,6,38,5.53,70,2.17
18,6,45,4.46,49,1.89
19,6,46,4.46,48,1.87
20,6,46,4.46,48,1.86
21,6,47,4.46,47,1.84
22,6,47,4.46,47,1.82
23,6,48,4.46,47,1.81
24,6,48,4.46,46,1.79
25,6,49,4.46,46,1.77
26,6,50,4.46,45,1.76
27,6,50,4.46,45,1.74
28,6,51,4.46,44,1.73
29,6,52,4.46,44,1.71
30,6,52,4.46,44,1.7
31,6,53,4.46,43,1.68
32,6,54,4.46,43,1.67
33,6,54,4.46,42,1.65
34,6,55,4.46,42,1.64
35,6,56,4.46,42,1.62
36,6,57,4.46,41,1.61
37,6,57,4.46,41,1.6
38,6,58,4.46,41,1.58
39,6,59,4.46,40,1.57
40,6,60,4.46,40,1.56
41,6,60,4.46,40,1.54
42,6,61,4.46,39,1.53
43,6,62,4.46,39,1.52
44,6,63,4.46,39,1.51
45,6,64,4.46,39,1.5
46,6,65,4.46,38,1.49
47,6,66,4.46,38,1.48
48,6,66,4.46,38,1.47
49,6,67,4.46,37,1.46
50,6,68,4.46,37,1.45
51,6,69,4.46,37,1.44
52,6,70,4.46,37,1.43
53,6,71,4.46,36,1.42
54,6,72,4.46,36,1.42
55,6,73,4.46,36,1.41
56,6,74,4.46,36,1.4
57,6,75,4.46,36,1.39
58,6,76,4.46,36,1.39
59,6,77,4.46,35,1.38
60,6,78,4.46,35,1.38
61,6,79,4.46,35,1.37
62,6,80,4.46,35,1.37
63,6,81,4.46,35,1.36
64,6,82,4.46,35,1.36
65,6,83,4.46,35,1.36
66,6,84,4.46,35,1.36
67,6,85,4.46,35,1.35
68,6,86,4.46,35,1.35
69,6,87,4.46,35,1.35
70,6,88,4.46,35,1.35
71,6,90,4.46,35,1.35
72,6,91,4.46,35,1.35
73,6,92,4.46,35,1.35
74,6,93,4.46,35,1.35
75,6,94,4.46,35,1.35
76,6,95,4.46,35,1.36
77,6,96,4.46,35,1.36
78,6,97,4.46,35,1.36
79,6,98,4.46,35,1.36
80,6,99,4.46,35,1.37
81,6,100,4.46,35,1.37
82,6,101,4.46,35,1.38
83,6,102,4.46,35,1.38
84,6,103,4.46,36,1.39
85,6,104,4.46,36,1.39
86,6,105,4.46,36,1.4
87,6,106,4.46,36,1.41
88,6,107,4.46,36,1.42
89,6,108,4.46,36,1.42
90,6,109,4.46,37,1.43
91,6,110,4.46,37,1.44
92,6,111,4.46,37,1.45
93,6,112,4.46,37,1.46
94,6,113,4.46,38,1.47
95,6,113,4.46,38,1.48
96,6,114,4.46,38,1.49
97,6,115,4.46,39,1.5
98,6,116,4.46,39,1.51
99,6,117,4.46,39,1.52
100,6,118,4.46,39,1.53
101,6,119,4.46,40,1.54
102,6,119,4.46,40,1.56
103,6,120,4.46,40,1.57
104,6,121,4.46,41,1.58
105,6,122,4.46,41,1.6
106,6,122,4.46,41,1.61
107,6,123,4.46,42,1.62
108,6,124,4.46,42,1.64
109,6,125,4.46,42,1.65
110,6,125,4.46,43,1.67
111,6,126,4.46,43,1.68
112,6,127,4.46,44,1.7
113,6,127,4.46,44,1.71
114,6,128,4.46,44,1.73
115,6,129,4.46,45,1.74
116,6,129,4.46,45,1.76
117,6,130,4.46,46,1.77
118,6,131,4.46,46,1.79
119,6,131,4.46,47,1.81
120,6,132,4.46,47,1.82
121,6,132,4.46,47,1.84
122,6,133,4.46,48,1.86
123,6,133,4.46,48,1.87
124,6,134,4.46,49,1.89
139,6,141,5.53,70,2.17
140,6,141,5.53,70,2.19
141,6,142,5.53,70,2.21
142,6,142,5.53,70,2.23
1,7,37,5.53,70,2.2
2,7,37,5.53,70,2.18
3,7,37,5.53,70,2.16
17,7,44,4.46,49,1.89
18,7,45,4.46,48,1.87
19,7,45,4.46,48,1.86
20,7,46,4.46,47,1.84
21,7,46,4.46,47,1.82
22,7,47,4.46,46,1.8
23,7,47,4.46,46,1.79
24,7,48,4.46,46,1.77
25,7,49,4.46,45,1.75
26,7,49,4.46,45,1.74
27,7,50,4.46,44,1.72
28,7,50,4.46,44,1.71
29,7,51,4.46,43,1.69
30,7,52,4.46,43,1.68
31,7,52,4.46,43,1.66
32,7,53,4.46,42,1.65
33,7,54,4.46,42,1.63
34,7,55,4.46,42,1.62
35,7,55,4.46,41,1.6
36,7,56,4.46,41,1.59
37,7,57,4.46,40,1.57
38,7,58,4.46,40,1.56
39,7,58,4.46,40,1.55
40,7,59,4.46,40,1.54
41,7,60,4.46,39,1.52
42,7,61,4.46,39,1.51
43,7,62,4.46,39,1.5
44,7,63,4.46,38,1.49
45,7,63,4.46,38,1.48
46,7,64,4.46,38,1.47
47,7,65,4.46,37,1.45
48,7,66,4.46,37,1.44
49,7,67,4.46,37,1.43
50,7,68,4.46,37,1.43
51,7,69,4.46,36,1.42
52,7,70,4.46,36,1.41
53,7,71,4.46,36,1.4
54,7,72,4.46,36,1.39
55,7,73,4.46,35,1.38
56,7,74,4.46,35,1.38
57,7,75,4.46,35,1.37
58,7,76,4.46,35,1.36
59,7,77,4.46,35,1.36
60,7,78,4.46,35,1.35
61,7,79,4.46,35,1.35
62,7,80,4.46,34,1.34
63,7,81,4.46,34,1.34
64,7,82,4.46,34,1.34
65,7,83,4.46,34,1.33
66,7,84,4.46,34,1.33
67,7,85,4.46,34,1.33
68,7,86,4.46,34,1.33
69,7,87,4.46,34,1.33
70,7,88,4.46,34,1.33
71,7,90,4.46,34,1.32
72,7,91,4.46,34,1.33
73,7,92,4.46,34,1.33
74,7,93,4.46,34,1.33
75,7,94,4.46,34,1.33
76,7,95,4.46,34,1.33
77,7,96,4.46,34,1.33
78,7,97,4.46,34,1.34
79,7,98,4.46,34,1.34
80,7,99,4.46,34,1.34
81,7,100,4.46,35,1.35
82,7,101,4.46,35,1.35
83,7,102,4.46,35,1.36
84,7,103,4.46,35,1.36
85,7,104,4.46,35,1.37
86,7,105,4.46,35,1.38
87,7,106,4.46,35,1.38
88,7,107,4.46,36,1.39
89,7,108,4.46,36,1.4
90,7,109,4.46,36,1.41
91,7,110,4.46,36,1.42
92,7,111,4.46,37,1.43
93,7,112,4.46,37,1.43
94,7,113,4.46,37,1.44
95,7,114,4.46,37,1.45
96,7,115,4.46,38,1.47
97,7,116,4.46,38,1.48
98,7,116,4.46,38,1.49
99,7,117,4.46,39,1.5
100,7,118,4.46,39,1.51
101,7,119,4.46,39,1.52
102,7,120,4.46,40,1.54
103,7,121,4.46,40,1.55
104,7,121,4.46,40,1.56
105,7,122,4.46,40,1.57
106,7,123,4.46,41,1.59
107,7,124,4.46,41,1.6
108,7,124,4.46,42,1.62
109,7,125,4.46,42,1.63
110,7,126,4.46,42,1.65
111,7,127,4.46,43,1.66
112,7,127,4.46,43,1.68
113,7,128,4.46,43,1.69
114,7,129,4.46,44,1.71
115,7,129,4.46,44,1.72
116,7,130,4.46,45,1.74
117,7,130,4.46,45,1.75
118,7,131,4.46,46,1.77
119,7,132,4.46,46,1.79
120,7,132,4.46,46,1.8
121,7,133,4.46,47,1.82
122,7,133,4.46,47,1.84
123,7,134,4.46,48,1.86
124,7,135,4.46,48,1.87
125,7,135,4.46,49,1.89
139,7,142,5.53,70,2.16
140,7,142,5.53,70,2.18
141,7,142,5.53,70,2.2
142,7,143,5.53,70,2.22
1,8,36,5.53,70,2.18
2,8,37,5.53,70,2.16
16,8,43,4.46,49,1.89
17,8,43,4.46,48,1.87
18,8,44,4.46,48,1.86
19,8,45,4.46,47,1.84
20,8,45,4.46,47,1.82
21,8,46,4.46,46,1.8
22,8,46,4.46,46,1.79
23,8,47,4.46,46,1.77
24,8,47,4.46,45,1.75
25,8,48,4.46,45,1.74
26,8,49,4.46,44,1.72
27,8,49,4.46,44,1.7
28,8,50,4.46,43,1.69
29,8,51,4.46,43,1.67
30,8,51,4.46,43,1.66
31,8,52,4.46,42,1.64
32,8,53,4.46,42,1.62
33,8,53,4.46,41,1.61
34,8,54,4.46,41,1.6
35,8,55,4.46,41,1.58
36,8,56,4.46,40,1.57
37,8,56,4.46,40,1.55
38,8,57,4.46,40,1.54
39,8,58,4.46,39,1.53
40,8,59,4.46,39,1.51
41,8,60,4.46,39,1.5
42,8,60,4.46,38,1.49
43,8,61,4.46,38,1.48
44,8,62,4.46,37,1.46
45,8,63,4.46,37,1.45
46,8,64,4.46,37,1.44
47,8,65,4.46,37,1.43
48,8,66,4.46,36,1.42
49,8,67,4.46,36,1.41
50,8,68,4.46,36,1.4
51,8,68,4.46,36,1.39
52,8,69,4.46,35,1.38
53,8,70,4.46,35,1.38
54,8,71,4.46,35,1.37
55,8,72,4.46,35,1.36
56,8,73,4.46,35,1.35
57,8,74,4.46,35,1.35
58,8,75,4.46,34,1.34
59,8,77,4.46,34,1.33
60,8,78,4.46,34,1.33
61,8,79,4.46,34,1.32
62,8,80,4.46,34,1.32
63,8,81,4.46,34,1.32
64,8,82,4.46,34,1.31
65,8,83,4.46,34,1.31
66,8,84,4.46,34,1.31
67,8,85,4.46,33,1.3
68,8,86,4.46,33,1.3
69,8,87,4.46,33,1.3
70,8,88,4.46,33,1.3
71,8,90,4.46,33,1.3
72,8,91,4.46,33,1.3
73,8,92,4.46,33,1.3
74,8,93,4.46,33,1.3
75,8,94,4.46,33,1.3
76,8,95,4.46,34,1.31
77,8,96,4.46,34,1.31
78,8,97,4.46,34,1.31
79,8,98,4.46,34,1.32
80,8,99,4.46,34,1.32
81,8,100,4.46,34,1.32
82,8,101,4.46,34,1.33
83,8,102,4.46,34,1.33
84,8,104,4.46,34,1.34
85,8,105,4.46,35,1.35
86,8,106,4.46,35,1.35
87,8,107,4.46,35,1.36
88,8,108,4.46,35,1.37
89,8,109,4.46,35,1.38
90,8,110,4.46,35,1.38
91,8,111,4.46,36,1.39
92,8,111,4.46,36,1.4
93,8,112,4.46,36,1.41
94,8,113,4.46,36,1.42
95,8,114,4.46,37,1.43
96,8,115,4.46,37,1.44
97,8,116,4.46,37,1.45
98,8,117,4.46,37,1.46
99,8,118,4.46,38,1.48
100,8,119,4.46,38,1.49
101,8,119,4.46,39,1.5
102,8,120,4.46,39,1.51
103,8,121,4.46,39,1.53
104,8,122,4.46,40,1.54
105,8,123,4.46,40,1.55
106,8,123,4.46,40,1.57
107,8,124,4.46,41,1.58
108,8,125,4.46,41,1.6
109,8,126,4.46,41,1.61
110,8,126,4.46,42,1.62
